Ensembl Gene ID	max
ENSG00000228750	2.217
ENSG00000239166	0.0
ENSG00000237436	0.6775
ENSG00000171735	20.69
ENSG00000227950	0.0
ENSG00000237365	0.0
ENSG00000207056	0.0
ENSG00000237402	1.352
ENSG00000237728	5.56
ENSG00000225126	1.974
ENSG00000270171	9.771
ENSG00000270035	3.224
ENSG00000269978	3.962
ENSG00000049245	75.97
ENSG00000269925	3.999
ENSG00000049246	23.42
ENSG00000236266	10.89
ENSG00000049247	0.4762
ENSG00000049249	1.117
ENSG00000270330	0.0
ENSG00000116288	137.6
ENSG00000200344	0.4952
ENSG00000116285	133.2
ENSG00000238290	1.119
ENSG00000232848	0.05379
ENSG00000229305	0.0178
ENSG00000200975	0.0
ENSG00000227634	0.2492
ENSG00000233645	0.0
ENSG00000265414	0.0
ENSG00000251977	0.0
ENSG00000162426	11.41
ENSG00000252254	0.1794
ENSG00000142599	51.67
ENSG00000232912	3.581
ENSG00000221083	0.1956
ENSG00000270282	0.09003
ENSG00000234619	0.0
ENSG00000224315	0.0741
ENSG00000222511	0.0
ENSG00000226545	0.0
ENSG00000228423	0.0
ENSG00000229716	0.0
ENSG00000074800	1485.0
ENSG00000236269	0.512
ENSG00000230679	9.664
ENSG00000201725	0.0
ENSG00000238249	0.07357
ENSG00000232208	0.1264
ENSG00000232663	0.0
ENSG00000131686	7.633
ENSG00000265141	0.06725
ENSG00000197241	0.264
ENSG00000142583	21.2
ENSG00000252404	0.0
ENSG00000180758	14.75
ENSG00000207865	0.3674
ENSG00000234546	4.084
ENSG00000228526	0.0
ENSG00000049239	38.37
ENSG00000252841	0.1283
ENSG00000171621	29.58
ENSG00000252956	0.0
ENSG00000235263	2.404
ENSG00000171612	12.36
ENSG00000231181	0.6256
ENSG00000188807	7.798
ENSG00000171608	38.47
ENSG00000179840	1.874
ENSG00000233268	0.0
ENSG00000231789	8.79
ENSG00000171603	126.1
ENSG00000271264	0.0
ENSG00000178585	164.9
ENSG00000223989	78.88
ENSG00000162441	19.34
ENSG00000228150	0.3227
ENSG00000173614	4.057
ENSG00000202415	0.4744
ENSG00000265521	0.0
ENSG00000241326	4.575
ENSG00000162444	122.0
ENSG00000225786	0.0
ENSG00000130939	18.4
ENSG00000224340	0.06216
ENSG00000233623	0.1512
ENSG00000201746	0.0
ENSG00000054523	41.02
ENSG00000264881	0.0
ENSG00000199562	0.4799
ENSG00000264501	45.35
ENSG00000265945	0.5528
ENSG00000142657	271.4
ENSG00000271989	10.97
ENSG00000241563	15.91
ENSG00000160049	10.16
ENSG00000203469	4.484
ENSG00000142655	22.51
ENSG00000243267	0.2587
ENSG00000130940	27.0
ENSG00000272078	15.72
ENSG00000225158	0.0
ENSG00000175262	1.795
ENSG00000215785	1.156
ENSG00000264181	0.0
ENSG00000207213	0.0
ENSG00000120948	55.27
ENSG00000009724	68.92
ENSG00000271895	71.34
ENSG00000116649	63.22
ENSG00000171824	54.4
ENSG00000226849	13.01
ENSG00000230337	6.331
ENSG00000198793	16.06
ENSG00000225602	0.4725
ENSG00000253086	0.0
ENSG00000271794	0.0
ENSG00000171819	374.6
ENSG00000207451	0.0
ENSG00000238173	0.0
ENSG00000120942	7.254
ENSG00000238199	0.1647
ENSG00000224338	0.0
ENSG00000204624	4.829
ENSG00000235643	1.758
ENSG00000116661	168.0
ENSG00000132879	132.0
ENSG00000116663	17.82
ENSG00000116670	32.34
ENSG00000162490	0.8747
ENSG00000177674	30.05
ENSG00000215910	14.55
ENSG00000177553	4.236
ENSG00000177000	7.338
ENSG00000011021	17.8
ENSG00000242349	5661.0
ENSG00000175206	20970.0
ENSG00000120937	1243.0
ENSG00000224904	0.08243
ENSG00000199347	0.5745
ENSG00000201801	0.1737
ENSG00000116685	37.4
ENSG00000083444	90.78
ENSG00000116688	125.9
ENSG00000270914	0.0
ENSG00000116691	22.97
ENSG00000202461	0.6226
ENSG00000243539	0.0
ENSG00000120949	35.22
ENSG00000201135	0.0
ENSG00000227875	0.08793
ENSG00000028137	83.68
ENSG00000263676	0.0
ENSG00000225196	0.06643
ENSG00000252969	0.0
ENSG00000048707	11.48
ENSG00000239149	2.913
ENSG00000229484	1.305
ENSG00000162496	75.24
ENSG00000221340	0.6848
ENSG00000272482	4.882
ENSG00000204518	0.419
ENSG00000226166	0.0
ENSG00000188984	0.2782
ENSG00000238771	0.0
ENSG00000157330	12.96
ENSG00000116726	0.09753
ENSG00000116721	0.3783
ENSG00000228338	6.008
ENSG00000204513	0.4996
ENSG00000231103	0.01926
ENSG00000179172	0.1206
ENSG00000120952	0.3712
ENSG00000243073	0.003723
ENSG00000187545	0.04119
ENSG00000204510	0.0
ENSG00000207434	0.0
ENSG00000234064	0.0212
ENSG00000232423	0.00905
ENSG00000250894	0.0
ENSG00000204508	0.0
ENSG00000239810	0.04162
ENSG00000270601	0.0
ENSG00000250113	0.0
ENSG00000204505	0.0
ENSG00000233336	0.0
ENSG00000229978	0.0
ENSG00000236179	0.0
ENSG00000179412	0.06892
ENSG00000224199	0.0
ENSG00000229571	0.03545
ENSG00000204503	0.0
ENSG00000233394	0.0
ENSG00000204502	0.0
ENSG00000231219	0.0
ENSG00000207511	0.0
ENSG00000182330	0.0
ENSG00000237700	0.0
ENSG00000204501	0.0
ENSG00000228229	0.0
ENSG00000204495	0.08358
ENSG00000204491	0.0
ENSG00000204488	0.0
ENSG00000204486	0.0
ENSG00000204485	0.0
ENSG00000224581	0.0
ENSG00000157358	0.0
ENSG00000204481	0.04201
ENSG00000204480	0.0
ENSG00000204479	0.0
ENSG00000204478	0.0
ENSG00000162494	11.91
ENSG00000259961	1.603
ENSG00000215909	0.0
ENSG00000162493	22.43
ENSG00000222952	0.0
ENSG00000266358	0.0
ENSG00000237445	0.2985
ENSG00000253085	0.132
ENSG00000116731	14.19
ENSG00000252151	0.0
ENSG00000231606	0.203
ENSG00000234593	0.5034
ENSG00000189337	35.46
ENSG00000235829	0.1268
ENSG00000175147	33.03
ENSG00000171729	18.65
ENSG00000204464	0.5123
ENSG00000215720	0.06152
ENSG00000142621	10.95
ENSG00000233485	3.145
ENSG00000236045	0.2372
ENSG00000228140	5.571
ENSG00000142634	112.1
ENSG00000162438	2188.0
ENSG00000142615	4738.0
ENSG00000215704	1080.0
ENSG00000132906	20.47
ENSG00000116138	4.791
ENSG00000251866	0.0
ENSG00000272510	4.661
ENSG00000116771	16.42
ENSG00000237301	0.6067
ENSG00000235084	7.411
ENSG00000252417	0.0
ENSG00000236500	0.07278
ENSG00000197312	6.364
ENSG00000271742	1.08
ENSG00000116786	103.4
ENSG00000264048	0.0
ENSG00000237938	18.93
ENSG00000162461	12.82
ENSG00000224459	8.772
ENSG00000162460	21.7
ENSG00000162458	182.3
ENSG00000224321	0.8504
ENSG00000233954	61.16
ENSG00000178715	1.036
ENSG00000179743	6.259
ENSG00000065526	18.58
ENSG00000238818	0.0
ENSG00000270620	0.04871
ENSG00000116809	19.45
ENSG00000234607	0.03588
ENSG00000231353	0.0
ENSG00000224966	0.0
ENSG00000183888	3.566
ENSG00000233078	7.96
ENSG00000173641	1124.0
ENSG00000186510	31.57
ENSG00000232456	17.17
ENSG00000184908	95.18
ENSG00000185519	56.38
ENSG00000142627	84.66
ENSG00000227959	1.913
ENSG00000224621	1.335
ENSG00000142632	21.93
ENSG00000234166	10.18
ENSG00000237276	2.902
ENSG00000204377	3.118
ENSG00000132881	5.046
ENSG00000233929	1.707
ENSG00000037637	9.0
ENSG00000055070	18.28
ENSG00000226457	2.977
ENSG00000187144	5.484
ENSG00000157191	50.94
ENSG00000226029	8.868
ENSG00000080947	13.36
ENSG00000206652	0.1305
ENSG00000261135	7.109
ENSG00000224174	0.4702
ENSG00000233421	5.985
ENSG00000268674	0.5731
ENSG00000225710	0.8825
ENSG00000266584	0.0
ENSG00000219481	12.63
ENSG00000271732	0.8988
ENSG00000215908	66.16
ENSG00000186301	130.6
ENSG00000207513	0.0
ENSG00000237847	0.2264
ENSG00000264742	0.0
ENSG00000236698	40.61
ENSG00000268869	2.547
ENSG00000268991	0.0
ENSG00000058453	23.06
ENSG00000207389	0.0
ENSG00000227684	0.8995
ENSG00000186715	27.26
ENSG00000223643	0.0
ENSG00000230239	0.1267
ENSG00000263811	0.0
ENSG00000228549	4.717
ENSG00000238142	8.141
ENSG00000235241	7.076
ENSG00000207005	0.3474
ENSG00000272426	0.9484
ENSG00000117122	21.2
ENSG00000226526	7.934
ENSG00000159363	61.72
ENSG00000117118	69.22
ENSG00000117115	100.7
ENSG00000252180	0.0
ENSG00000204362	0.198
ENSG00000142623	88.29
ENSG00000142619	23.13
ENSG00000266634	0.2421
ENSG00000159339	17.48
ENSG00000269468	0.07158
ENSG00000256049	0.07799
ENSG00000179051	52.26
ENSG00000227751	32.62
ENSG00000266727	0.0
ENSG00000239020	0.0
ENSG00000074964	52.26
ENSG00000236648	0.7288
ENSG00000117148	7.728
ENSG00000261781	0.1882
ENSG00000117154	71.83
ENSG00000230035	2.251
ENSG00000225387	0.6721
ENSG00000179023	7.235
ENSG00000235282	0.0
ENSG00000225478	0.0
ENSG00000009709	0.8965
ENSG00000179002	0.04451
ENSG00000255275	0.0
ENSG00000159423	202.2
ENSG00000265606	0.0
ENSG00000221662	0.0
ENSG00000169991	12.88
ENSG00000272084	28.86
ENSG00000127481	30.36
ENSG00000266098	0.8294
ENSG00000230424	8.216
ENSG00000127463	11.39
ENSG00000053372	28.93
ENSG00000211454	15.79
ENSG00000162482	149.5
ENSG00000270728	2.168
ENSG00000053371	50.18
ENSG00000200403	0.1968
ENSG00000040487	15.0
ENSG00000265192	0.0
ENSG00000077549	106.6
ENSG00000240490	0.0
ENSG00000201609	0.0
ENSG00000239027	0.0
ENSG00000235185	1.617
ENSG00000173436	3.128
ENSG00000226396	11.56
ENSG00000270136	0.0
ENSG00000158747	1.941
ENSG00000158748	2.713
ENSG00000162542	15.27
ENSG00000178828	16.04
ENSG00000235434	5.902
ENSG00000169914	12.0
ENSG00000188784	0.06014
ENSG00000242688	0.0
ENSG00000188257	412.8
ENSG00000127472	45.75
ENSG00000117215	2.427
ENSG00000158786	13.09
ENSG00000227066	1.057
ENSG00000187980	1.184
ENSG00000225986	32.31
